SP;nom_sc;nom_fr;ID_TAXON;;
CACCAS;Cacomantis castaneiventris;Coucou à poitrine rousse;9762;;
CACCEL;Cacicus cela;Cassique cul-jaune;18673;;
CACDUC;Cacatua ducorpsii;Cacatoès de Ducorps;9333;;
CACENS;Carduelis spinescens;Tarin des Andes;17596;;
CACFLA;Cacomantis flabelliformis;Coucou à éventail;9764;;
CACFLAPYR;Cacomantis flabelliformis pyrrhophanus;Coucou à éventail;18977;;
CACGAL;Cacatua galerita;Cacatoès à huppe jaune;9324;;
CACGOF;Cacatua goffini;Cacatoès de Goffin;9329;;
CACGYA;Cacatua haematuropygia;Cacatoès des Philippines;9328;;
CACHEI;Cacomantis heinrichi;Coucou de Heinrich;9763;;
CACKOE;Cacicus koepckeae;Cassique de Koepcke;18677;;
CACLEA;Cacatua leadbeateri;Cacatoès de Leadbeater;9322;;
CACMEL;Cacicus melanicterus;Cassique à ailes jaunes;18683;;
CACMER;Cacomantis merulinus;Coucou plaintif;9759;;
CACMIC;L. cachinnans x l. michahellis;Hybride G. pontique X G. leucophée;18949;;
CACMOL;Cacatua moluccensis;Cacatoès à huppe rouge;9326;;
CACNUS;Cacomantis passerinus;Coucou à tête grise;9758;;
CACOPH;Cacatua ophthalmica;Cacatoès aux yeux bleus;9325;;
CACOUS;Cacicus haemorrhous;Cassique cul-rouge;18674;;
CACRUS;Cacicus chrysopterus;Cassique à épaulettes;18678;;
CACSAN;Cacatua sanguinea;Cacatoès corella;9330;;
CACSCL;Cacicus sclateri;Cassique d'Équateur;18681;;
CACSEP;Cacomantis sepulcralis;Coucou à ventre roux;9760;;
CACSOL;Cacicus solitarius;Cassique solitaire;18682;;
CACSON;Cacomantis sonneratii;Coucou de Sonnerat;9757;;
CACSUL;Cacatua sulphurea;Cacatoès soufré;9323;;
CACTEN;Cacatua tenuirostris;Cacatoès nasique;9332;;
CACTOR;Cacatua pastinator;Cacatoès laboureur;9331;;
CACTUS;Cacicus chrysonotus;Cassique montagnard;18679;;
CACURO;Cacicus uropygialis;Cassique à dos rouge;18675;;
CACVAR;Cacomantis variolosus;Coucou des buissons;9761;;
CAECYA;Parus caeruleus x cyanus;Mésange de Pleske;18909;;
CAHAMI;Calyptorhynchus lathami;Cacatoès de Latham;9316;;
CAIDES;Carduelis spinoides;Verdier de l'Himalaya;17590;;
CAIMOS;Cairina moschata;Canard musqué;7198;;
CAISCU;Cairina scutulata;Canard à ailes blanches;7199;;
CALACI;Calandrella cinerea;Alouette cendrille;16826;;
CALAFU;Calamanthus fuliginosus;Séricorne strié;13513;;
CALALB;Calidris alba;Bécasseau sanderling;8502;;
CALALP;Calidris alpina;Bécasseau variable;8516;;
CALALPALP;Calidris alpina alpina;Bécasseau variable alpina;18804;;
CALALPARC;Calidris alpina arctica;Bécasseau variable arctique;18805;;
CALALPSCH;Calidris alpina schinzii;Bécasseau variable schinzii;18806;;
CALAME;Calliphlox amethystina;Colibri améthyste;10796;;
CALANN;Calypte anna;Colibri d'Anna;10792;;
CALATA;Calidris acuminata;Bécasseau à queue pointue;8513;;
CALATH;Calandrella athensis;Alouette d'Athi;16832;;
CALBAI;Calidris bairdii;Bécasseau de Baird;8511;;
CALBAN;Calyptorhynchus banksii;Cacatoès banksien;9315;;
CALBAU;Calyptorhynchus baudinii;Cacatoès de Baudin;9312;;
CALBLA;Calandrella blanfordi;Alouette de Blandford;16824;;
CALBRA;Calandrella brachydactyla;Alouette calandrelle;16823;;
CALBUR;Callacanthis burtoni;Roselin de Burton;17628;;
CALCAL;Callipepla californica;Colin de Californie;7846;;
CALCAM;Calamanthus campestris;Séricorne roussâtre;13512;;
CALCAN;Calidris canutus;Bécasseau maubèche;8501;;
CALCANCAN;Calidris canutus canutus;Bécasseau maubèche type;18807;;
CALCANISL;Calidris canutus islandica;Bécasseau maubèche islandais;18808;;
CALCHE;Calandrella cheleensis;Alouette de Swinhoe;16829;;
CALCOC;Calochaetes coccineus;Tangara carmin;18219;;
CALCOL;Calocitta colliei;Geai à face noire;13885;;
CALCOS;Calypte costae;Colibri de Costa;10793;;
CALCRI;Calyptura cristata;Cotinga roitelet;12297;;
CALDIO;Calonectris diomedea;Puffin cendré;6775;;
CALDOU;Callipepla douglasii;Colin élégant;7845;;
CALENS;Calandrella rufescens;Alouette pispolette;16828;;
CALERL;Calandrella erlangeri;Alouette d'Erlanger;16825;;
CALEVE;Calliphlox evelynae;Colibri des Bahamas;10795;;
CALFAS;Calamonastes fasciolatus;Camaroptère barrée;16258;;
CALFER;Calidris ferruginea;Bécasseau cocorli;8517;;
CALFIM;Callocephalon fimbriatum;Cacatoès à tête rouge;9318;;
CALFOR;Calocitta formosa;Geai à face blanche;13886;;
CALFRU;Calyptophilus frugivorus;Tangara cornichon;18165;;
CALFUN;Calyptorhynchus funereus;Cacatoès funèbre;9314;;
CALFUS;Calidris fuscicollis;Bécasseau à croupion blanc;8510;;
CALGAM;Callipepla gambelii;Colin de Gambel;7847;;
CALHOS;Calyptomena hosii;Eurylaime de Hose;11720;;
CALHUS;Caliechthrus leucolophus;Coucou à calotte blanche;9784;;
CALLAP;Calcarius lapponicus;Bruant lapon;17795;;
CALLAS;Calonectris leucomelas;Puffin leucomèle;6776;;
CALLCI;Callaeas cinerea;Glaucope cendré;14545;;
CALLIS;Calidris ruficollis;Bécasseau à col roux;8506;;
CALLLA;Calidris minutilla;Bécasseau minuscule;8509;;
CALLUC;Calothorax lucifer;Colibri lucifer;10786;;
CALMAD;Calicalicus madagascariensis;Calicalic malgache;14518;;
CALMAR;Calidris maritima;Bécasseau violet;8514;;
CALMAU;Calidris mauri;Bécasseau d'Alaska;8504;;
CALMCC;Calcarius mccownii;Bruant de McCown;17794;;
CALNIC;Caloenas nicobarica;Nicobar à camail;9074;;
CALOCU;Caloperdix oculea;Rouloul ocellé;8023;;
CALOFU;Calorhamphus fuliginosus;Barbu fuligineux;11260;;
CALORN;Calcarius ornatus;Bruant à ventre noir;17797;;
CALPIC;Calcarius pictus;Bruant de Smith;17796;;
CALPTI;Calidris ptilocnemis;Bécasseau des Aléoutiennes;8515;;
CALPUL;Calothorax pulcher;Colibri charmant;10787;;
CALPUS;Calidris pusilla;Bécasseau semipalmé;8503;;
CALRAY;Calandrella raytal;Alouette raytal;16830;;
CALRIS;Calandrella acutirostris;Alouette de Hume;16827;;
CALRYS;Callonetta leucophrys;Canard à collier noir;7209;;
CALSER;Calyptocichla serina;Bulbul doré;15733;;
CALSIM;Calamonastes simplex;Camaroptère modeste;16256;;
CALSOM;Calandrella somalica;Alouette roussâtre;16831;;
CALSQU;Callipepla squamata;Colin écaillé;7844;;
CALSTI;Calamonastes stierlingi;Camaroptère de Stierling;16257;;
CALSUB;Calidris subminuta;Bécasseau à longs doigts;8508;;
CALTEM;Calidris temminckii;Bécasseau de Temminck;8507;;
CALTEN;Calidris tenuirostris;Bécasseau de l'Anadyr;8500;;
CALUTA;Calidris minuta;Bécasseau minute;8505;;
CALVIR;Calyptomena viridis;Eurylaime vert;11719;;
CALWHI;Calyptomena whiteheadi;Eurylaime de Whitehead;11721;;
CAMABI;Campethera abingoni;Pic à queue dorée;11479;;
CAMALB;Campylorhynchus albobrunneus;Troglodyte à tête blanche;15361;;
CAMBEN;Campethera bennettii;Pic de Bennett;11477;;
CAMBRA;Camaroptera brachyura;Camaroptère à tête grise;16252;;
CAMBRE;Camaroptera brevicaudata;Camaroptère à dos gris;16250;;
CAMBRU;Campylorhynchus brunneicapillus;Troglodyte des cactus;15352;;
CAMCAI;Campethera cailliautii;Pic de Cailliaut;11483;;
CAMCAR;Campethera caroli;Pic à oreillons bruns;11488;;
CAMCHA;Campylorhynchus rufinucha;Troglodyte à nuque rousse;15357;;
CAMCHI;Campylorhynchus chiapensis;Troglodyte géant;15355;;
CAMCHL;Camaroptera chloronota;Camaroptère à dos vert;16254;;
CAMCRA;Camarhynchus crassirostris;Géospize crassirostre;18590;;
CAMCUR;Campylopterus curvipennis;Campyloptère pampa;10438;;
CAMDUI;Campylopterus duidae;Campyloptère montagnard;10443;;
CAMENS;Campylopterus ensipennis;Campyloptère à queue blanche;10445;;
CAMEXC;Campylopterus excellens;Campyloptère de Wetmore;10439;;
CAMFAS;Campylorhynchus fasciatus;Troglodyte fascié;15363;;
CAMFLA;Campephaga flava;Échenilleur à épaulettes jaunes;14183;;
CAMFUS;Campylopterus rufus;Campyloptère roux;10441;;
CAMGAY;Campephilus gayaquilensis;Pic de Guayaquil;11607;;
CAMGRI;Campylorhynchus griseus;Troglodyte bicolore;15356;;
CAMGUA;Campephilus guatemalensis;Pic à bec clair;11605;;
CAMGUL;Campylorhynchus gularis;Troglodyte tacheté;15351;;
CAMHAE;Campephilus haematogaster;Pic superbe;11602;;
CAMHAR;Camaroptera harterti;Camaroptère de Hartert;16251;;
CAMHEL;Camarhynchus heliobates;Géospize des mangroves;18595;;
CAMHEM;Campylopterus hemileucurus;Campyloptère violet;10444;;
CAMHYP;Campylopterus hyperythrus;Campyloptère rougeâtre;10442;;
CAMIMB;Camptostoma imberbe;Tyranneau imberbe;11757;;
CAMIMP;Campephilus imperialis;Pic impérial;11610;;
CAMIUS;Campylorhamphus falcularius;Grimpar à bec en faux;13030;;
CAMJOC;Campylorhynchus jocosus;Troglodyte de Boucard;15353;;
CAMLAB;Camptorhynchus labradorius;Eider du Labrador;7301;;
CAMLAR;Campylopterus largipennis;Campyloptère à ventre gris;10440;;
CAMLEU;Campephilus leucopogon;Pic à dos crème;11608;;
CAMLOB;Campephaga lobata;Échenilleur à barbillons;14186;;
CAMMAC;Campethera maculosa;Pic barré;11482;;
CAMMAG;Campephilus magellanicus;Pic de Magellan;11609;;
CAMMEG;Campylorhynchus megalopterus;Troglodyte zébré;15359;;
CAMMEL;Campephilus melanoleucos;Pic de Malherbe;11606;;
CAMMOM;Campethera mombassica;Pic de Mombasa;11480;;
CAMNIV;Campethera nivosa;Pic tacheté;11487;;
CAMNOT;Campethera notata;Pic tigré;11481;;
CAMNUB;Campethera nubica;Pic de Nubie;11476;;
CAMNUC;Campylorhynchus nuchalis;Troglodyte rayé;15362;;
CAMOBS;Camptostoma obsoletum;Tyranneau passegris;11758;;
CAMORI;Campephaga oriolina;Échenilleur loriot;14187;;
CAMPAL;Camarhynchus pallidus;Géospize pique-bois;18594;;
CAMPAR;Camarhynchus parvulus;Géospize minuscule;18593;;
CAMPAU;Camarhynchus pauper;Géospize modeste;18592;;
CAMPET;Campephaga petiti;Échenilleur de Petit;14182;;
CAMPHA;Campylopterus phainopeplus;Campyloptère des Santa Marta;10447;;
CAMPHO;Campephaga phoenicea;Échenilleur à épaulettes rouges;14184;;
CAMPOL;Campephilus pollens;Pic puissant;11601;;
CAMPRI;Campephilus principalis;Pic à bec ivoire;11611;;
CAMPRO;Campylorhamphus procurvoides;Grimpar à bec courbe;13032;;
CAMPSI;Camarhynchus psittacula;Géospize psittacin;18591;;
CAMPUC;Campylorhamphus pucherani;Grimpar de Pucheran;13028;;
CAMPUN;Campethera punctuligera;Pic à taches noires;11475;;
CAMPUS;Campylorhamphus pusillus;Grimpar à bec brun;13031;;
CAMQUI;Campephaga quiscalina;Échenilleur pourpré;14185;;
CAMROB;Campephilus robustus;Pic robuste;11604;;
CAMRUB;Campephilus rubricollis;Pic à cou rouge;11603;;
CAMSCR;Campethera scriptoricauda;Pic de Reichenow;11478;;
CAMSLO;Campochaera sloetii;Échenilleur doré;14167;;
CAMSUP;Camaroptera superciliaris;Camaroptère à sourcils jaunes;16253;;
CAMTRO;Campylorhamphus trochilirostris;Grimpar à bec rouge;13029;;
CAMTUL;Campethera tullbergi;Pic de Tullberg;11485;;
CAMTUR;Campylorhynchus turdinus;Troglodyte grivelé;15358;;
CAMTUS;Campylopterus falcatus;Campyloptère lazulite;10446;;
CAMVIL;Campylopterus villaviscensio;Campyloptère du Napo;10448;;
CAMYUC;Campylorhynchus yucatanicus;Troglodyte du Yucatan;15354;;
CAMZON;Campylorhynchus zonatus;Troglodyte zoné;15360;;
CANDESUR;Canards de surface;Canards de Surface;2;;
CANKIO;Canirallus kioloides;Râle à gorge blanche;8163;;
CANOCU;Canirallus oculeus;Râle à gorge grise;8162;;
CANOPS;Conopophaga melanops;Conophage à joues noires;13107;;
CAORYS;Calamospiza melanocorys;Bruant noir et blanc;17802;;
CAOTOS;Calidris melanotos;Bécasseau à poitrine cendrée;8512;;
CAPAEG;Caprimulgus aegyptius;Engoulevent du désert;10220;;
CAPAFF;Caprimulgus affinis;Engoulevent affin;10238;;
CAPANT;Caprimulgus anthonyi;Engoulevent d'Anthony;10209;;
CAPASI;Caprimulgus asiaticus;Engoulevent indien;10234;;
CAPATR;Caprimulgus atripennis;Engoulevent de Jerdon;10227;;
CAPAUR;Capito aurovirens;Cabézon oranvert;11318;;
CAPBAD;Caprimulgus badius;Engoulevent maya;10198;;
CAPBAT;Caprimulgus batesi;Engoulevent de Bates;10243;;
CAPBIN;Caprimulgus binotatus;Engoulevent à deux taches;10214;;
CAPBRU;Capito brunneipectus;Cabézon à poitrine brune;11325;;
CAPCAN;Caprimulgus candicans;Engoulevent à ailes blanches;10206;;
CAPCAR;Caprimulgus carolinensis;Engoulevent de Caroline;10193;;
CAPCAY;Caprimulgus cayennensis;Engoulevent coré;10205;;
CAPCEN;Caprimulgus centralasicus;Engoulevent de Vaurie;10222;;
CAPCLA;Caprimulgus clarus;Engoulevent de Reichenow;10246;;
CAPCLI;Caprimulgus climacurus;Engoulevent à longue queue;10245;;
CAPCON;Caprimulgus concretus;Engoulevent de Bonaparte;10240;;
CAPCUB;Caprimulgus cubanensis;Engoulevent peut-on-voir;10196;;
CAPDAY;Capito dayi;Cabézon du Brésil;11322;;
CAPDON;Caprimulgus donaldsoni;Engoulevent des épines;10229;;
CAPDUS;Caprimulgus maculicaudus;Engoulevent à queue étoilée;10207;;
CAPENA;Caprimulgus enarratus;Engoulevent à nuque rousse;10242;;
CAPENS;Caprimulgus nigrescens;Engoulevent noirâtre;10211;;
CAPEUR;Caprimulgus europaeus;Engoulevent d'Europe;10217;;
CAPEXI;Caprimulgus eximius;Engoulevent doré;10224;;
CAPFLA;Capsiempsis flaveola;Tyranneau flavéole;11764;;
CAPFOS;Caprimulgus fossii;Engoulevent du Mozambique;10247;;
CAPFRA;Caprimulgus fraenatus;Engoulevent sombre;10218;;
CAPGER;Capito niger;Cabézon tacheté;11324;;
CAPHIR;Caprimulgus hirundinaceus;Engoulevent pygmée;10213;;
CAPHYP;Capito hypoleucus;Cabézon à manteau blanc;11321;;
CAPIND;Caprimulgus indicus;Engoulevent jotaka;10216;;
CAPINO;Caprimulgus inornatus;Engoulevent terne;10236;;
CAPLON;Caprimulgus longirostris;Engoulevent à miroir;10204;;
CAPMAD;Caprimulgus madagascariensis;Engoulevent malgache;10225;;
CAPMAH;Caprimulgus mahrattensis;Engoulevent de Sykes;10221;;
CAPMAN;Caprimulgus manillensis;Engoulevent des Philippines;10228;;
CAPNAT;Caprimulgus natalensis;Engoulevent du Natal;10235;;
CAPNOC;Caprimulgus noctitherus;Engoulevent de Porto Rico;10202;;
CAPNUB;Caprimulgus nubicus;Engoulevent de Nubie;10223;;
CAPPAR;Caprimulgus parvulus;Engoulevent des bois;10208;;
CAPPEC;Caprimulgus pectoralis;Engoulevent musicien;10231;;
CAPPOL;Caprimulgus poliocephalus;Engoulevent d'Abyssinie;10232;;
CAPPRI;Caprimulgus prigoginei;Engoulevent de Prigogine;10244;;
CAPPUL;Caprimulgus pulchellus;Engoulevent de Salvadori;10241;;
CAPQUI;Capito quinticolor;Cabézon à cinq couleurs;11323;;
CAPRID;Caprimulgus ridgwayi;Engoulevent de Ridgway;10200;;
CAPRIS;Caprimulgus nigriscapularis;Engoulevent à épaulettes noires;10230;;
CAPRUS;Caprimulgus macrurus;Engoulevent de Horsfield;10226;;
CAPRUW;Caprimulgus ruwenzorii;Engoulevent du Ruwenzori;10233;;
CAPSAL;Caprimulgus salvini;Engoulevent de Salvin;10197;;
CAPSAT;Caprimulgus saturatus;Engoulevent montagnard;10203;;
CAPSER;Caprimulgus sericocaudatus;Engoulevent à queue de soie;10199;;
CAPSQU;Capito squamatus;Cabézon à nuque blanche;11320;;
CAPSTE;Caprimulgus stellatus;Engoulevent étoilé;10237;;
CAPSUS;Caprimulgus maculosus;Engoulevent de Guyane;10210;;
CAPTRI;Caprimulgus tristigma;Engoulevent pointillé;10239;;
CAPTUS;Capito maculicoronatus;Cabézon à calotte tachetée;11319;;
CAPVOC;Caprimulgus vociferus;Engoulevent bois-pourri;10201;;
CAPWHI;Caprimulgus whitelyi;Engoulevent du Roraima;10212;;
CARAMB;Carduelis ambigua;Verdier d'Oustalet;17592;;
CARANT;Carpodectes antoniae;Cotinga à bec jaune;12323;;
CARATA;Carduelis atrata;Chardonneret noir;17607;;
CARBAR;Carduelis barbata;Chardonneret à menton noir;17605;;
CARBRA;Carpospiza brachydactyla;Moineau pâle;17100;;
CARCAS;Carpodacus cassinii;Roselin de Cassin;17641;;
CARCHL;Carduelis chloris;Verdier d'Europe;17588;;
CARCRA;Carduelis crassirostris;Chardonneret à bec épais;17599;;
CARCRI;Cariama cristata;Cariama huppé;8332;;
CARDCU;Carduelis cucullata;Chardonneret rouge;17598;;
CARDES;Carpodacus rubicilloides;Roselin strié;17655;;
CARDOM;Carduelis dominicensis;Chardonneret des Antilles;17612;;
CAREDW;Carpodacus edwardsii;Roselin d'Edwards;17647;;
CARENS;Carpodacus rubescens;Roselin de Blanford;17637;;
CAREOS;Carpodacus eos;Roselin de Stresemann;17644;;
CAREPS;Carduelis atriceps;Tarin sombre;17595;;
CARERY;Carpodacus erythrinus;Roselin cramoisi;17639;;
CARFUL;Caridonax fulgidus;Martin-chasseur étincelant;10956;;
CARHOP;Carpodectes hopkei;Cotinga blanc;12324;;
CARHOR;Carduelis hornemanni;Sizerin blanchâtre;17614;;
CARHOREXI;Carduelis hornemanni exilipes;;18812;;
CARHORHOR;Carduelis hornemanni hornemanni;;18813;;
CARHUM;Caryothraustes humeralis;Cardinal à épaulettes;18617;;
CARICA;Carduelis sinica;Verdier de Chine;17589;;
CARINA;Carduelis cannabina;Linotte mélodieuse;17617;;
CARJOH;Carduelis johannis;Linotte de Warsangli;17619;;
CARLAW;Carduelis lawrencei;Chardonneret gris;17611;;
CARLIS;Carduelis carduelis;Chardonneret élégant;17613;;
CARLLA;Carpodacus rubicilla;Roselin tacheté;17656;;
CARLUS;Carpodacus rhodopeplus;Roselin à ailes tachetées;17651;;
CARMAG;Carduelis magellanica;Chardonneret de Magellan;17600;;
CARMEA;Carduelis flammea;Sizerin flammé;17615;;
CARMEACAB;Carduelis flammea cabaret;;18809;;
CARMEAFLA;Carduelis flammea flammea;;18810;;
CARMEAROS;Carduelis flammea rostrata;;18811;;
CARMEL;Carpornis melanocephalus;Cotinga à tête noire;12270;;
CARMEX;Carpodacus mexicanus;Roselin familier;17642;;
CARMON;Carduelis monguilloti;Verdier du Vietnam;17591;;
CARMYS;Carpodacus rhodochlamys;Roselin à dos rouge;17653;;
CARNIP;Carpodacus nipalensis;Roselin sombre;17638;;
CARNIT;Carpodectes nitidus;Cotinga neigeux;12322;;
CARNOT;Carduelis notata;Chardonneret à tête noire;17604;;
CARNUS;Carduelis spinus;Tarin des aulnes;17593;;
CAROLI;Carduelis olivacea;Chardonneret olivâtre;17603;;
CARONS;Cardellina rubrifrons;Paruline à face rouge;18023;;
CAROUS;Carpodacus rhodochrous;Roselin à sourcils roses;17645;;
CARPCU;Carpornis cucullatus;Cotinga coqueluchon;12269;;
CARPHO;Cardinalis phoeniceus;Cardinal vermillon;18612;;
CARPIN;Carduelis pinus;Tarin des pins;17594;;
CARPOL;Caryothraustes poliogaster;Cardinal à ventre blanc;18615;;
CARPSA;Carduelis psaltria;Chardonneret mineur;17610;;
CARPUL;Carpodacus pulcherrimus;Roselin superbe;17643;;
CARPUN;Carpodacus puniceus;Roselin à gorge rouge;17657;;
CARPUR;Carpodacus purpureus;Roselin pourpré;17640;;
CARRAD;Carpococcyx radiceus;Calobate radieux;9812;;
CARREN;Carpococcyx renauldi;Calobate de l'Annam;9813;;
CARRIS;Carduelis flavirostris;Linotte à bec jaune;17616;;
CARROB;Carpodacus roborowskii;Roselin de Roborowski;17658;;
CARROS;Carpodacus roseus;Roselin rose;17649;;
CARSIE;Carduelis siemiradzkii;Chardonneret safran;17602;;
CARSIS;Caryothraustes canadensis;Cardinal flavert;18616;;
CARSYN;Carpodacus synoicus;Roselin du Sinaï;17648;;
CARTHU;Carpodacus thura;Roselin de Thura;17652;;
CARTUS;Cardinalis sinuatus;Cardinal pyrrhuloxia;18613;;
CARURO;Carduelis uropygialis;Chardonneret à croupion jaune;17608;;
CARVIN;Carpodacus vinaceus;Roselin vineux;17646;;
CARXAN;Carduelis xanthogastra;Chardonneret à ventre jaune;17606;;
CARYAR;Carduelis yarrellii;Chardonneret de Yarrell;17597;;
CARYEM;Carduelis yemenensis;Linotte du Yémen;17618;;
CASBEN;Casuarius bennetti;Casoar de Bennett;6553;;
CASCAS;Casuarius casuarius;Casoar à casque;6552;;
CASFUS;Casiornis fusca;Casiorne à dos brun;12151;;
CASRUF;Casiornis rufa;Casiorne roux;12150;;
CASTER;Conopophaga melanogaster;Conophage à ventre noir;13108;;
CASTIS;Carduelis tristis;Chardonneret jaune;17609;;
CASUNA;Casuarius unappendiculatus;Casoar unicaronculé;6554;;
CATANA;Catamenia analis;Cataménie maculée;18543;;
CATANT;Catharacta antarctica;Labbe antarctique;8701;;
CATBIC;Catharus bicknelli;Grive de Bicknell;14695;;
CATBIS;Catharopeza bishopi;Paruline de Saint-Vincent;17981;;
CATBUR;Cathartes burrovianus;Urubu à tête jaune;7093;;
CATCHI;Catharacta chilensis;Labbe du Chili;8703;;
CATDIA;Catamblyrhynchus diadema;Tête-de-peluche couronné;18390;;
CATDRY;Catharus dryas;Grive tavelée;14692;;
CATENS;Catharus fuscescens;Grive fauve;14693;;
CATFRA;Catharus frantzii;Grive à calotte rousse;14690;;
CATGRA;Catharus gracilirostris;Grive à bec noir;14686;;
CATGUT;Catharus guttatus;Grive solitaire;14697;;
CATHAM;Catharus mexicanus;Grive à tête noire;14691;;
CATHEM;Catherpes mexicanus;Troglodyte des canyons;15370;;
CATHIS;Catharus aurantiirostris;Grive à bec orange;14687;;
CATHOM;Catamenia homochroa;Cataménie du paramo;18545;;
CATHRA;Cathartes aura;Urubu à tête rouge;7092;;
CATINO;Catamenia inornata;Cataménie terne;18544;;
CATLON;Catharacta lonnbergi;Labbe brun;8702;;
CATMAC;Catharacta maccormicki;Labbe de McCormick;8704;;
CATMEL;Cathartes melambrotus;Grand Urubu;7094;;
CATMIN;Catharus minimus;Grive à joues grises;14694;;
CATMUS;Catharus mustelinus;Grive des bois;14698;;
CATOCC;Catharus occidentalis;Grive roussâtre;14689;;
CATRIS;Calyptorhynchus latirostris;Cacatoès à rectrices blanches;9313;;
CATSEM;Catoptrophorus semipalmatus;Chevalier semipalmé;8486;;
CATSKU;Catharacta skua;Grand Labbe;8700;;
CATSUM;Catherpes sumichrasti;Troglodyte à bec fin;15371;;
CATTER;Catharus fuscater;Grive ardoisée;14688;;
CATTUR;Cataponera turdoides;Grive cataponère;14657;;
CATUST;Catharus ustulatus;Grive à dos olive;14696;;
CATWAL;Catreus wallichi;Faisan de Wallich;8077;;
CEACEA;Certhidea olivacea;Géospize olive;18597;;
CECANS;Cercomacra nigricans;Grisin de jais;12591;;
CECENS;Cercomacra nigrescens;Grisin noirâtre;12588;;
CECINE;Cercomacra cinerascens;Grisin ardoisé;12585;;
CECINN;Certhiaxis cinnamomea;Synallaxe à gorge jaune;12811;;
CEFAMI;Cercomela familiaris;Traquet familier;15098;;
CEIGER;Certhionyx niger;Myzomèle cravaté;13270;;
CEINUS;Cercococcyx olivinus;Coucou olivâtre;9754;;
CELBRA;Celeus brachyurus;Pic brun;11581;;
CELCAS;Celeus castaneus;Pic roux;11585;;
CELELE;Celeus elegans;Pic mordoré;11586;;
CELENS;Celeus flavescens;Pic ocré;11588;;
CELGRA;Celeus grammicus;Pic de Verreaux;11583;;
CELLOR;Celeus loricatus;Pic cannelle;11582;;
CELLUG;Celeus lugubris;Pic à tête pâle;11587;;
CELSPE;Celeus spectabilis;Pic à tête rousse;11590;;
CELTOR;Celeus torquatus;Pic à cravate noire;11591;;
CELUND;Celeus undatus;Pic ondé;11584;;
CELVUS;Celeus flavus;Pic jaune;11589;;
CENAND;Centropus andamanensis;Coucal des Andaman;9838;;
CENANS;Centropus anselli;Coucal du Gabon;9846;;
CENATE;Centropus ateralbus;Coucal atralbin;9830;;
CENBEN;Centropus bengalensis;Coucal rufin;9843;;
CENBER;Centropus bernsteini;Coucal de Bernstein;9833;;
CENBUR;Centropus burchelli;Coucal de Burchell;9852;;
CENCEL;Centropus celebensis;Coucal des Célèbes;9854;;
CENCHA;Centropus chalybeus;Coucal de Biak;9834;;
CENCHL;Centropus chlororhynchus;Coucal de Ceylan;9844;;
CENCUP;Centropus cupreicaudus;Coucal des papyrus;9849;;
CENGOL;Centropus goliath;Coucal goliath;9827;;
CENGRI;Centropus grillii;Coucal noir;9842;;
CENLEU;Centropus leucogaster;Coucal à ventre blanc;9845;;
CENMEL;Centropus melanops;Coucal à face noire;9853;;
CENMEN;Centropus menbeki;Coucal menébeki;9829;;
CENMIL;Centropus milo;Coucal à tête fauve;9826;;
CENMON;Centropus monachus;Coucal à nuque bleue;9848;;
CENNEU;Centropus neumanni;Coucal de Neumann;9847;;
CENNIG;Centropus nigrorufus;Coucal noirou;9839;;
CENPHA;Centropus phasianinus;Coucal faisan;9831;;
CENREC;Centropus rectunguis;Coucal de Strickland;9835;;
CENSEN;Centropus senegalensis;Coucal du Sénégal;9850;;
CENSIN;Centropus sinensis;Grand Coucal;9837;;
CENSPI;Centropus spilopterus;Coucal des Kaï;9832;;
CENSTE;Centropus steerii;Coucal de Steer;9836;;
CENSUP;Centropus superciliosus;Coucal à sourcils blancs;9851;;
CENTOU;Centropus toulou;Coucal toulou;9841;;
CENUNI;Centropus unirufus;Coucal roux;9855;;
CENURO;Centrocercus urophasianus;Tétras des armoises;7905;;
CENVIO;Centropus violaceus;Coucal violet;9828;;
CENVIR;Centropus viridis;Coucal vert;9840;;
CEPCAR;Cepphus carbo;Guillemot à lunettes;8838;;
CEPCOL;Cepphus columba;Guillemot colombin;8837;;
CEPFLA;Cephalopyrus flammiceps;Rémiz tête-de-feu;15479;;
CEPGLA;Cephalopterus glabricollis;Coracine ombrelle;12336;;
CEPGRY;Cepphus grylle;Guillemot à miroir;8836;;
CEPORN;Cephalopterus ornatus;Coracine ornée;12338;;
CEPPEN;Cephalopterus penduliger;Coracine casquée;12337;;
CERAME;Certhia americana;Grimpereau brun;15340;;
CERANA;Cercomacra brasiliana;Grisin du Brésil;12586;;
CERATA;Cerorhinca monocerata;Macareux rhinocéros;8857;;
CERATR;Ceratogymna atrata;Calao à casque noir;11138;;
CERBAR;Cercotrichas barbata;Agrobate barbu;14995;;
CERBRE;Ceratogymna brevis;Calao à joues argent;11134;;
CERBUC;Ceratogymna bucinator;Calao trompette;11132;;
CERBUR;Certhilauda burra;Alouette ferrugineuse;16794;;
CERCAR;Cercomacra carbonaria;Grisin charbonnier;12592;;
CERCHU;Certhilauda chuana;Alouette à ongles courts;16791;;
CERCOR;Cercotrichas coryphaeus;Agrobate coryphée;15002;;
CERCTA;Cercotrichas leucosticta;Agrobate du Ghana;14993;;
CERCUR;Certhilauda curvirostris;Alouette à long bec;16790;;
CERCYL;Ceratogymna cylindricus;Calao à joues brunes;11136;;
CERDIS;Certhia discolor;Grimpereau discolore;15344;;
